Feature,Importance
Rating color_encoded,0.8170854430116206
Rating text_encoded,0.046610052846074966
Votes,0.03759668072461648
Locality_encoded,0.030547050656308063
Cuisines_encoded,0.02471381231303496
Average Cost for two,0.017735480298194762
City_encoded,0.009324659469901162
Cuisine_count,0.007163076207753009
Has Online delivery_num,0.0038119272302640462
Price range,0.002685608655170683
Has Table booking_num,0.0013106358982255541
Currency_encoded,0.0009730324769942848
Is delivering now_num,0.0004425402118415484
